DATE-YMD,OTHR= ICOADS scalar Windspeed (m/s),
2016-08-15,       7.660,
2016-09-15,       5.590,
2016-10-15,      10.520,
2016-11-15,       8.070,
2016-12-15,      11.050,
2017-01-15,       8.170,
2017-02-15,      11.050,
2017-03-15,       9.870,
2017-04-15,      10.830,
2017-05-15,       8.920,
2017-06-15,      10.600,
2017-07-15,      13.650,
2017-08-15,       7.370,
2017-09-15,       9.030,
2017-10-15,       7.570,
2017-11-15,       9.130,
2017-12-15,      11.350,
