SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,PSP-Alexandrium_spp.CellsL-1,DSP-DinophysiaceaeCellsL-1,DSP-ProrocentrumLimaCellsL-1,ASP-Pseudo-nitzschia_spp.CellsL-1,YessotoxinLingulodiniumPolyedrumCellsL-1,YessotoxinProtoceratiumReticulatumCellsL-1,VenerupinProrocentrumCordatumCellsL-1
215/22,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,11/04/2022,ND,ND,ND,ND,ND,ND,ND
216/22,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,11/04/2022,ND,ND,ND,80,ND,ND,ND
217/22,Blackwater,B14AE,Maldon DC,TL89310707,Off Recycling Centre,12/04/2022,ND,ND,ND,ND,400,ND,ND
218/22,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,12/04/2022,ND,ND,ND,400,ND,ND,ND
219/22,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,12/04/2022,ND,ND,ND,ND,ND,ND,ND
220/22,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,13/04/2022,ND,ND,ND,1240,ND,ND,ND
221/22,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,19/04/2022,ND,ND,ND,ND,ND,ND,ND
222/22,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,19/04/2022,ND,ND,ND,16720,ND,ND,ND
223/22,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,19/04/2022,ND,160,ND,ND,ND,ND,ND
224/22,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,19/04/2022,ND,280,ND,80,ND,ND,ND
225/22,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,19/04/2022,ND,80,ND,ND,ND,ND,ND
226/22,Portland,B25AK,Dorset Council,SY68707757,Site A,19/04/2022,ND,ND,ND,6560,ND,ND,ND
227/22,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,19/04/2022,"Not tested, unsuitable for analysis","Not tested, unsuitable for analysis","Not tested, unsuitable for analysis","Not tested, unsuitable for analysis","Not tested, unsuitable for analysis","Not tested, unsuitable for analysis","Not tested, unsuitable for analysis"
228/22,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,19/04/2022,ND,ND,ND,ND,ND,ND,ND
229/22,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,19/04/2022,ND,ND,ND,400,ND,ND,ND
230/22,The Thames,B16BR,London PHA,TQ93798271,Phoenix,19/04/2022,ND,ND,ND,500,ND,ND,ND
231/22,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,18/04/2022,ND,ND,ND,ND,ND,ND,ND
232/22,Dart,B028P,South Hams DC,SX87945350,Long Wood South,19/04/2022,ND,80,ND,320,ND,ND,ND
233/22,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,19/04/2022,40,160,ND,160,ND,ND,ND
234/22,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,18/04/2022,ND,120,ND,80,ND,ND,ND
235/22,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,20/04/2022,ND,ND,ND,400,ND,ND,ND
236/22,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,20/04/2022,ND,ND,ND,80,ND,ND,ND
237/22,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,20/04/2022,ND,40,ND,ND,ND,ND,ND
