SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,SampleCollectionMethod,DateSampleCollected,DateSampleArrivedAtLowestoft,DateOfAnalysisAndResultsReported,PSP-Alexandrium_spp.CellsL-1,DSP-DinophysiaceaeCellsL-1,DSP-ProrocentrumLimaCellsL-1,ASP-Pseudo-nitzschia_spp.CellsL-1,YessotoxinLingulodiniumPolyedrumCellsL-1,YessotoxinProtoceratiumReticulatumCellsL-1,VenerupinProrocentrumCordatumCellsL-1,ActionRequired
165/18,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79364451,Loose J,SURFACE,2018-04-04,2018-04-05,2018-04-06,ND,ND,ND,120,ND,ND,40,
166/18,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,POLE,2018-04-04,2018-04-05,2018-04-06,ND,ND,ND,ND,ND,ND,ND,
167/18,The Fleet,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,POLE,2018-04-04,2018-04-05,2018-04-06,ND,ND,ND,120,ND,ND,ND,
168/18,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,POLE,2018-04-05,2018-04-06,2018-04-09,ND,ND,ND,ND,ND,ND,40,
169/18,Swale,B076P,Swale BC,TR01316497,The Causeway,SURFACE,2018-04-05,2018-04-06,2018-04-09,ND,ND,ND,ND,ND,ND,ND,
170/18,Porlock,B094D,West Somerset Council,SS87114787,Porlock East,POLE,2018-04-04,2018-04-06,2018-04-09,ND,ND,ND,ND,ND,ND,ND,
171/18,Lune,B066G,Wyre BC,SD34004870,Knott Spit,POLE,2018-04-04,2018-04-09,2018-04-10,ND,ND,ND,ND,ND,ND,ND,
173-18,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,POLE,2018-04-09,2018-04-10,2018-04-11,ND,ND,ND,ND,ND,ND,ND,
174-18,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,POLE,2018-04-09,2018-04-10,2018-04-11,ND,ND,ND,ND,ND,ND,ND,
175-18,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,POLE,2018-04-09,2018-04-10,2018-04-11,ND,ND,ND,ND,ND,ND,ND,
176-18,Brixham,B082B,Torbay BC,SX90965741,Fishcombe Cove SW Corner,POLE,2018-04-09,2018-04-10,2018-04-11,ND,ND,ND,ND,ND,ND,ND,
177-18,Taw-Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,SURFACE,2018-04-09,2018-04-10,2018-04-11,ND,ND,ND,600,ND,ND,ND,
178-18,Blackwater,B14AD,Maldon DC,TM06910846,St Peters Flats,SURFACE,2018-04-10,2018-04-11,2018-04-12,ND,ND,ND,ND,ND,ND,ND,
179-18,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,SURFACE,2018-04-10,2018-04-11,2018-04-12,ND,ND,ND,ND,ND,ND,ND,
180-18,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,POLE,2018-04-10,2018-04-11,2018-04-12,ND,ND,ND,ND,ND,ND,40,
181-18,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,POLE,2018-04-11,2018-04-12,2018-04-13,ND,ND,ND,ND,ND,ND,ND,
182-18,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,POLE,2018-04-11,2018-04-12,2018-04-13,ND,ND,ND,ND,ND,ND,120,
183-18,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,TUBE,2018-04-11,2018-04-12,2018-04-13,ND,ND,ND,ND,ND,ND,200,
185-18,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,POLE,2018-04-11,2018-04-12,2018-04-13,ND,ND,ND,240,ND,ND,ND,
186-18,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,POLE,2018-04-11,2018-04-12,2018-04-13,ND,ND,ND,ND,ND,ND,ND,
187-18,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,POLE,2018-04-11,2018-04-12,2018-04-13,ND,ND,ND,ND,ND,ND,ND,
188-18,Roach,B73AF,London PHA,TQ94909207,Paglesham,SURFACE,2018-04-11,2018-04-12,2018-04-13,ND,ND,ND,ND,ND,ND,ND,
189-18,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,POLE,2018-04-11,2018-04-12,2018-04-13,ND,ND,ND,ND,ND,ND,ND,
190-18,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,POLE,2018-04-11,2018-04-12,2018-04-13,ND,ND,ND,ND,ND,ND,ND,
191-18,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,TUBE,2018-04-11,2018-04-13,2018-04-16,ND,80,ND,ND,ND,ND,120,
192-18,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,POLE,2018-04-12,2018-04-13,2018-04-16,ND,ND,ND,ND,ND,ND,ND,
193-18,The Wash,B003V,Boston BC,TF44234098,Toft,SURFACE,2018-04-16,2018-04-17,2018-04-18,ND,ND,ND,1400,ND,ND,ND,
194-18,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,POLE,2018-04-16,2018-04-17,2018-04-18,ND,560,ND,80,ND,ND,760,Additional flesh and water samples requested
195-18,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,POLE,2018-04-16,2018-04-17,2018-04-18,ND,160,ND,ND,ND,ND,80,Additional flesh and water samples requested
196-18,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,POLE,2018-04-16,2018-04-17,2018-04-18,40,800,ND,ND,ND,ND,200,Additional flesh and water samples requested
197-18,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,SURFACE,2018-04-16,2018-04-17,2018-04-18,100,ND,ND,ND,ND,ND,ND,Additional flesh and water samples requested
198-18,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier,SURFACE,2018-04-16,2018-04-17,2018-04-18,ND,ND,ND,80,ND,ND,40,
199-18,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,SURFACE,2018-04-15,2018-04-17,2018-04-18,ND,ND,ND,2000,ND,ND,ND,
200-18,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,POLE,2018-04-16,2018-04-17,2018-04-18,ND,ND,ND,ND,ND,ND,ND,
201-18,Dart,B028B,South Hams DC,SX87415599,Waddeton,POLE,2018-04-16,2018-04-17,2018-04-18,ND,ND,ND,ND,ND,ND,ND,
202-18,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,SURFACE,2018-04-17,2018-04-18,2018-04-19,ND,ND,ND,ND,ND,ND,ND,
203-18,Burry Inlet,B038L,City and Council of Swansea,SS44409730,Whitford Point,SURFACE,2018-04-17,2018-04-18,2018-04-19,ND,ND,ND,ND,ND,ND,ND,
204-18,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79364451,Loose J,SURFACE,2018-04-17,2018-04-18,2018-04-19,ND,ND,ND,880,ND,ND,ND,
205-18,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,SURFACE,2018-04-17,2018-04-18,2018-04-19,ND,ND,ND,ND,ND,ND,ND,
206-18,Blakeney,B006R,North Norfolk DC,TF91814545,Wells - The Pool,POLE,2018-04-17,2018-04-18,2018-04-19,ND,ND,ND,880,ND,ND,ND,
207-18,Porlock,B094D,West Somerset Council,SS87114787,Porlock East,POLE,2018-04-17,2018-04-18,2018-04-19,ND,ND,ND,200,ND,ND,ND,
208/18,Beaulieu,B023I,New Forest DC,SU40280013,Landing Stage,POLE,2018-04-18,2018-04-19,2018-04-20,ND,ND,ND,ND,ND,ND,ND,
209/18,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,POLE,2018-04-18,2018-04-19,2018-04-20,ND,ND,ND,ND,ND,ND,ND,
210/18,The Fleet,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,POLE,2018-04-18,2018-04-19,2018-04-20,ND,ND,ND,200,ND,ND,ND,
212/18,Lune,BO66Z,Wyre BC,SD34004870,Knott Spit,SURFACE,2018-04-18,2018-04-19,2018-04-20,ND,ND,ND,ND,ND,ND,ND,
213-18,Burry Inlet,B038D,Carmarthenshire CC,SS50209860,Machynys,SURFACE,2018-04-19,2018-04-20,2018-04-23,ND,ND,ND,400,ND,ND,ND,
214-18,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,SURFACE,2018-04-23,2018-04-24,2018-04-25,ND,80,ND,ND,ND,ND,120,
215-18,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon-Tregothnan,SURFACE,2018-04-23,2018-04-24,2018-04-25,ND,80,ND,ND,ND,ND,240,
216-18,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,SURFACE,2018-04-23,2018-04-24,2018-04-25,ND,ND,ND,920,ND,ND,ND,
217-18,Blackwater,B14AD,Maldon DC,TM06910846,St Peters Flats,SURFACE,2018-04-23,2018-04-24,2018-04-25,ND,ND,ND,ND,ND,ND,ND,
218-18,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,SURFACE,2018-04-23,2018-04-24,2018-04-25,ND,ND,ND,ND,ND,ND,ND,
219-18,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,POLE,2018-04-23,2018-04-24,2018-04-25,ND,ND,ND,ND,ND,ND,ND,
220-18,Taw-Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,POLE,2018-04-23,2018-04-24,2018-04-25,ND,ND,ND,120,ND,ND,ND,
221-18,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,POLE,2018-04-24,2018-04-25,2018-04-26,ND,40,ND,ND,ND,ND,40,
222-18,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,POLE,2018-04-24,2018-04-25,2018-04-26,ND,ND,ND,ND,ND,ND,ND,
223-18,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow Cove North,SURFACE,2018-04-24,2018-04-25,2018-04-26,ND,ND,ND,1200,ND,ND,ND,
224-18,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,POLE,2018-04-24,2018-04-25,2018-04-26,ND,160,ND,160,ND,ND,120,Additional flesh and water samples requested
225-18,Start Bay,B087J,South Hams DC,SX82504197,Off Torcross,SURFACE,2018-04-24,2018-04-25,2018-04-26,ND,ND,ND,120,ND,ND,ND,
226-18,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,POLE,2018-04-24,2018-04-25,2018-04-26,ND,ND,ND,ND,ND,ND,ND,
227-18,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,POLE,2018-04-25,2018-04-26,2018-04-27,ND,200,ND,720,ND,ND,ND,Additional flesh and water samples requested
228-18,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,POLE,2018-04-25,2018-04-26,2018-04-27,ND,ND,ND,ND,ND,ND,ND,
230-18,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,POLE,2018-04-25,2018-04-26,2018-04-27,ND,ND,ND,5200,ND,ND,ND,
231-18,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,POLE,2018-04-25,2018-04-26,2018-04-27,ND,ND,ND,ND,ND,ND,ND,
232-18,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,POLE,2018-04-25,2018-04-26,2018-04-27,ND,ND,ND,ND,ND,ND,ND,
233-18,Roach,B73AF,London PHA,TQ94909207,Paglesham,SURFACE,2018-04-26,2018-04-27,2018-04-30,ND,ND,ND,ND,ND,ND,ND,
234-18,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,TUBE,2018-04-25,2018-04-27,2018-04-30,ND,320,ND,ND,ND,ND,ND,Additional flesh and water samples requested
235-18,Brixham,B082B,Torbay BC,SX90965741,Fishcombe Cove SW Corner,POLE,2018-04-26,2018-04-27,2018-04-30,ND,ND,ND,ND,ND,ND,ND,
236-18,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,POLE,2018-04-26,2018-04-27,2018-04-30,ND,ND,ND,2560,ND,ND,ND,
237/18,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,SURFACE,2018-04-29,2018-05-01,2018-05-02,ND,ND,ND,4680,ND,ND,ND,
238/18,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,SURFACE,2018-04-29,2018-05-01,2018-05-02,ND,ND,ND,600,ND,ND,ND,
239/18,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,SURFACE,2018-04-29,2018-05-01,2018-05-02,40,ND,ND,840,ND,ND,ND,Additional Water and Flesh samples requested
240-18,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,POLE,2018-05-01,2018-05-02,2018-05-03,ND,360,ND,12880,ND,ND,ND,Additional Water and Flesh samples requested
241-18,Burry Inlet,B038D,Carmarthenshire CC,SS50209860,Machynys,SURFACE,2018-05-01,2018-05-02,2018-05-03,ND,ND,ND,700,ND,ND,ND,
242-18,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,SURFACE,2018-04-30,2018-05-02,2018-05-03,ND,ND,ND,400,ND,ND,ND,
243-18,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,POLE,2018-04-30,2018-05-02,2018-05-03,ND,40,ND,ND,ND,ND,ND,
244-18,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,POLE,2018-04-30,2018-05-02,2018-05-03,ND,ND,ND,ND,ND,ND,ND,
245-18,Blakeney,B006R,North Norfolk DC,TF91814545,Wells - The Pool,POLE,2018-05-01,2018-05-02,2018-05-03,ND,ND,ND,400,ND,ND,ND,
246-18,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,POLE,2018-05-01,2018-05-02,2018-05-03,ND,ND,ND,300,ND,ND,ND,
247-18,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,POLE,2018-05-01,2018-05-02,2018-05-03,ND,ND,ND,ND,ND,ND,ND,
248-18,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,POLE,2018-05-01,2018-05-02,2018-05-03,ND,ND,ND,ND,ND,ND,ND,
249-18,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,TUBE,2018-04-30,2018-05-02,2018-05-03,ND,360,ND,80,ND,ND,ND,Additional Water and Flesh samples requested
250-18,Porlock,B094D,West Somerset Council,SS87114787,Porlock East,POLE,2018-05-01,2018-05-02,2018-05-03,ND,ND,ND,600,ND,ND,ND,
251-18,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,SURFACE,2018-05-02,2018-05-03,2018-05-04,ND,ND,ND,ND,ND,ND,ND,
252-18,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,POLE,2018-05-02,2018-05-03,2018-05-04,100,ND,ND,300,ND,ND,ND,Additional Water and Flesh samples requested
253-18,Lune,BO66Z,Wyre BC,SD34004870,Knott Spit,POLE,2018-05-01,2018-05-03,2018-05-04,ND,ND,ND,8800,ND,ND,ND,
255/18,Swale,B076P,Swale BC,TR01316497,The Causeway,SURFACE,2018-05-03,2018-05-04,2018-05-08,ND,ND,ND,320,ND,ND,ND,
256/18,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,SURFACE,2018-05-08,2018-05-09,2018-05-10,ND,80,ND,2520,ND,ND,40,
257/18,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon-Tregothnan,SURFACE,2018-05-08,2018-05-09,2018-05-10,ND,40,ND,1440,ND,ND,ND,
258/18,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,SURFACE,2018-05-08,2018-05-09,2018-05-10,ND,ND,ND,1480,ND,ND,ND,
259/18,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79364451,Loose J,SURFACE,2018-05-08,2018-05-09,2018-05-10,ND,ND,ND,ND,ND,ND,ND,
260/18,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,POLE,2018-05-08,2018-05-09,2018-05-10,ND,ND,ND,ND,ND,ND,ND,
261/18,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,SURFACE,2018-05-07,2018-05-09,2018-05-10,ND,ND,ND,ND,ND,ND,ND,
262/18,Taw-Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,POLE,2018-05-08,2018-05-09,2018-05-10,40,40,ND,1080,ND,ND,ND,Additional flesh and water samples requested
263/18,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,POLE,2018-05-08,2018-05-10,2018-05-11,40,120,ND,8040,ND,ND,ND,Additional flesh and water samples requested
264/18,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,POLE,2018-05-09,2018-05-10,2018-05-11,ND,ND,ND,ND,ND,ND,ND,
265/18,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow Cove North,SURFACE,2018-05-09,2018-05-10,2018-05-11,ND,40,ND,2560,ND,ND,ND,
266/18,Blackwater,B14AD,Maldon DC,TM06910846,St Peters Flats,SURFACE,2018-05-09,2018-05-10,2018-05-11,ND,ND,ND,ND,ND,ND,ND,
267/18,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,POLE,2018-05-09,2018-05-10,2018-05-11,ND,ND,ND,200,ND,ND,ND,
268/18,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,POLE,2018-05-09,2018-05-10,2018-05-11,ND,ND,ND,ND,ND,ND,ND,
269/18,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,POLE,2018-05-09,2018-05-10,2018-05-11,ND,ND,ND,ND,ND,ND,ND,
270/18,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,TUBE,2018-05-08,2018-05-10,2018-05-11,ND,80,ND,ND,ND,ND,ND,
271/18,The Fleet,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,POLE,2018-05-09,2018-05-10,2018-05-11,ND,ND,ND,ND,ND,ND,ND,
272/18,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,TUBE,2018-05-10,2018-05-11,2018-05-14,ND,ND,ND,ND,ND,ND,ND,
274/18,Roach,B73AF,London PHA,TQ94909207,Paglesham,SURFACE,2018-05-10,2018-05-11,2018-05-14,ND,ND,ND,ND,ND,ND,ND,
275/18,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,SURFACE,2018-05-10,2018-05-11,2018-05-14,ND,ND,ND,ND,ND,ND,ND,
276/18,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,POLE,2018-05-10,2018-05-11,2018-05-14,ND,ND,ND,7840,ND,ND,ND,
277-18,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,SURFACE,2018-05-14,2018-05-15,2018-05-16,ND,ND,ND,11800,ND,ND,ND,
278-18,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,SURFACE,2018-05-14,2018-05-15,2018-05-16,ND,ND,ND,2280,ND,ND,ND,
279-18,The Thames,B16BR,London PHA,TQ93798271,Phoenix,SURFACE,2018-05-14,2018-05-15,2018-05-16,ND,ND,ND,4640,ND,ND,40,
280-18,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,SURFACE,2018-05-14,2018-05-15,2018-05-16,ND,ND,ND,200,ND,ND,ND,
281-18,Dart,B028B,South Hams DC,SX87415599,Waddeton,POLE,2018-05-14,2018-05-15,2018-05-16,ND,ND,ND,1400,ND,ND,120,
282-18,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,POLE,2018-05-15,2018-05-16,2018-05-17,ND,80,ND,480,ND,ND,ND,
283-18,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,POLE,2018-05-15,2018-05-16,2018-05-17,ND,ND,ND,1560,ND,ND,ND,
284-18,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,POLE,2018-05-15,2018-05-16,2018-05-17,ND,240,ND,720,ND,ND,120,Additional flesh and water samples requested
285-18,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,POLE,2018-05-15,2018-05-16,2018-05-17,ND,200,ND,1080,ND,ND,ND,Additional flesh and water samples requested
286-18,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,SURFACE,2018-05-15,2018-05-16,2018-05-17,ND,ND,ND,ND,ND,ND,ND,
287-18,Brixham,B082B,Torbay BC,SX90965741,Fishcombe Cove SW Corner,POLE,2018-05-14,2018-05-16,2018-05-17,ND,360,ND,120,ND,ND,ND,Additional flesh and water samples requested
288-18,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,TUBE,2018-05-15,2018-05-16,2018-05-17,ND,440,ND,ND,ND,ND,160,Additional flesh and water samples requested
289-18,Taw-Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,POLE,2018-05-14,2018-05-16,2018-05-17,ND,ND,ND,760,ND,ND,ND,
290-18,The Wash,B003V,Boston BC,TF44234098,Toft,SURFACE,2018-05-15,2018-05-17,2018-05-18,ND,ND,ND,1600,ND,ND,ND,
291-18,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,SURFACE,2018-05-16,2018-05-17,2018-05-18,ND,ND,ND,ND,ND,ND,ND,
292-18,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,SURFACE,2018-05-16,2018-05-17,2018-05-18,ND,ND,40,ND,ND,ND,ND,
293-18,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,SURFACE,2018-05-16,2018-05-17,2018-05-18,ND,40,ND,480,ND,ND,ND,
294-18,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,SURFACE,2018-05-15,2018-05-17,2018-05-18,ND,ND,ND,ND,ND,ND,ND,
295-18,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,POLE,2018-05-16,2018-05-17,2018-05-18,ND,40,ND,480,ND,ND,80,
296-18,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,POLE,2018-05-17,2018-05-18,2018-05-21,ND,ND,ND,ND,ND,ND,ND,
297-18,Porlock,B094D,West Somerset Council,SS87114787,Porlock East,POLE,2018-05-17,2018-05-18,2018-05-21,ND,ND,ND,800,ND,ND,ND,
298/18,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,POLE,2018-05-21,2018-05-22,2018-05-23,ND,120,ND,960,ND,ND,880,Additional flesh and water samples requested
299/18,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,POLE,2018-05-21,2018-05-22,2018-05-23,ND,560,ND,1280,ND,ND,1800,Additional flesh and water samples requested
300/18,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,SURFACE,2018-05-20,2018-05-22,2018-05-23,ND,ND,ND,24400,ND,ND,ND,
301/18,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,SURFACE,2018-05-21,2018-05-22,2018-05-23,ND,40,ND,4040,ND,ND,ND,
302/18,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,POLE,2018-05-21,2018-05-22,2018-05-23,ND,ND,ND,8200,ND,ND,ND,
303/18,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,POLE,2018-05-21,2018-05-22,2018-05-23,ND,ND,ND,1960,ND,ND,ND,
304/18,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,POLE,2018-05-21,2018-05-22,2018-05-23,ND,ND,ND,ND,ND,ND,ND,
305/18,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,SURFACE,2018-05-22,2018-05-23,2018-05-24,ND,40,ND,160,ND,ND,160,
306/18,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon-Tregothnan,SURFACE,2018-05-22,2018-05-23,2018-05-24,ND,40,ND,560,ND,ND,80,
307/18,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,SURFACE,2018-05-22,2018-05-23,2018-05-24,ND,40,ND,800,ND,ND,ND,
308/18,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79364451,Loose J,SURFACE,2018-05-22,2018-05-23,2018-05-24,ND,ND,ND,ND,ND,ND,ND,
309/18,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,POLE,2018-05-22,2018-05-23,2018-05-24,ND,ND,ND,3520,ND,ND,40,
310/18,The Fleet,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,POLE,2018-05-22,2018-05-23,2018-05-24,ND,ND,40,ND,ND,ND,ND,
311-18,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,SURFACE,2018-05-23,2018-05-24,2018-05-25,ND,ND,ND,7800,ND,ND,ND,
312-18,Beaulieu,B023I,New Forest DC,SU40280013,Landing Stage,POLE,2018-05-23,2018-05-24,2018-05-25,ND,ND,ND,ND,ND,ND,ND,
313-18,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,POLE,2018-05-23,2018-05-24,2018-05-25,ND,ND,ND,4480,ND,ND,ND,
314-18,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,POLE,2018-05-23,2018-05-24,2018-05-25,ND,ND,ND,1160,ND,ND,200,
315-18,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,TUBE,2018-05-22,2018-05-24,2018-05-25,ND,360,ND,ND,ND,ND,ND,Additional flesh and water samples requested 
316-18,Taw-Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,POLE,2018-05-23,2018-05-24,2018-05-25,ND,80,ND,1000,ND,ND,ND,
317-18,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,POLE,2018-05-24,2018-05-25,2018-05-30,ND,ND,ND,2480,ND,ND,ND,
319-18,Roach,B73AF,London PHA,TQ94909207,Paglesham,SURFACE,2018-05-24,2018-05-25,2018-05-30,ND,ND,ND,5300,ND,ND,ND,
320-18,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,SURFACE,2018-05-24,2018-05-25,2018-05-30,ND,ND,ND,ND,ND,ND,ND,
321-18,Dart,B028B,South Hams DC,SX87415599,Waddeton,POLE,2018-05-24,2018-05-25,2018-05-30,ND,ND,ND,3000,ND,ND,ND,
322-18,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,POLE,2018-05-24,2018-05-25,2018-05-30,ND,ND,100,25800,ND,ND,ND,Additional flesh and water samples requested 
323/18,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,SURFACE,2018-05-29,2018-05-30,2018-05-31,ND,ND,ND,1080,ND,ND,80,
324/18,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,POLE,2018-05-29,2018-05-30,2018-05-31,ND,160,ND,920,ND,ND,360,Additional flesh and water samples requested 
325/18,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,POLE,2018-05-29,2018-05-30,2018-05-31,40,480,ND,920,ND,ND,440,Additional flesh and water samples requested 
326/18,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,POLE,2018-05-29,2018-05-30,2018-05-31,40,120,ND,1400,ND,ND,7960,Additional flesh and water samples requested 
327/18,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,POLE,2018-05-29,2018-05-30,2018-05-31,ND,ND,ND,2900,ND,ND,ND,
328/18,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,POLE,2018-05-29,2018-05-30,2018-05-31,ND,100,ND,1800,ND,ND,300,Additional flesh and water samples requested 
329/18,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,SURFACE,2018-05-29,2018-05-30,2018-05-31,ND,120,ND,54800,ND,ND,40,Additional flesh and water samples requested 
