SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,PSP-Alexandrium_spp.CellsL-1,DSP-DinophysiaceaeCellsL-1,DSP-ProrocentrumLimaCellsL-1,ASP-Pseudo-nitzschia_spp.CellsL-1,YessotoxinLingulodiniumPolyedrumCellsL-1,YessotoxinProtoceratiumReticulatumCellsL-1,VenerupinProrocentrumCordatumCellsL-1,,
404/21,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,14/06/2021,ND,ND,ND,720,ND,ND,ND,,
405/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,14/06/2021,ND,ND,40,40,ND,ND,ND,,
406/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,14/06/2021,ND,40,ND,560,ND,ND,ND,,
407/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,14/06/2021,200,280,ND,2400,ND,ND,ND,,
408/21,Portland,B25AM,Dorset Council,SY68707757,Site A,14/06/2021,ND,ND,ND,2720,ND,ND,ND,,
409/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,13/06/2021,ND,ND,ND,7200,ND,ND,ND,,
410/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,14/06/2021,ND,400,ND,800,ND,ND,ND,,
411/21,Swale,B076P,Swale BC,TR01316497,The Causeway,14/06/2021,ND,ND,ND,ND,ND,ND,ND,,
412/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,14/06/2021,ND,40,ND,1560,40,ND,ND,,
413/21,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,15/06/2021,ND,ND,ND,24900,ND,ND,ND,,
414/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,15/06/2021,ND,ND,ND,ND,ND,ND,ND,,
415/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,15/06/2021,ND,ND,ND,ND,ND,ND,200,,
416/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,15/06/2021,ND,ND,ND,58600,ND,ND,300,,
417/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,15/06/2021,ND,ND,ND,753000,ND,ND,1000,,
418/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,15/06/2021,ND,ND,ND,1200,ND,ND,ND,,
419/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,15/06/2021,ND,ND,ND,6880,ND,ND,ND,,
420/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,16/06/2021,ND,ND,ND,2900,ND,ND,ND,,
421/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,16/06/2021,ND,ND,ND,3480,ND,ND,ND,,
422/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,16/06/2021,ND,ND,ND,2200,ND,ND,ND,,
423/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,16/06/2021,ND,80,ND,1000,ND,ND,ND,,
424/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,16/06/2021,40,ND,ND,118000,ND,ND,ND,,
425/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,15/06/2021,ND,160,ND,5480,ND,ND,ND,,
426/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,15/06/2021,ND,ND,ND,ND,ND,ND,ND,,
428/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,21/06/2021,ND,ND,ND,480,ND,ND,ND,,
429/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,21/06/2021,ND,ND,ND,ND,ND,ND,ND,,
430/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,21/06/2021,ND,200,ND,80,ND,ND,ND,,
431/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,21/06/2021,ND,ND,ND,200,ND,ND,200,,
432/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,22/06/2021,ND,ND,ND,160,ND,ND,ND,,
433/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,21/06/2021,ND,ND,ND,ND,ND,ND,ND,,
434/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,22/06/2021,ND,ND,ND,7120,ND,ND,ND,,
435/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,20/06/2021,ND,ND,ND,ND,ND,ND,ND,,
436/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,22/06/2021,ND,80,ND,9360,ND,ND,ND,,
437/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,23/06/2021,ND,ND,ND,ND,ND,ND,ND,,
438/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,23/06/2021,ND,ND,ND,400,ND,ND,ND,,
439/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,23/06/2021,ND,ND,ND,1000,ND,ND,ND,,
440/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,23/06/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
441/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,23/06/2021,ND,ND,ND,ND,ND,ND,ND,,
442/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,23/06/2021,40,ND,ND,160,ND,ND,ND,,
443/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,23/06/2021,ND,ND,ND,12760,ND,ND,ND,,
444/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,23/06/2021,ND,ND,ND,ND,ND,ND,ND,,
445/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,23/06/2021,ND,ND,ND,1000,ND,ND,280000,,
446/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,24/06/2021,ND,ND,ND,ND,ND,ND,ND,,
447/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,23/06/2021,ND,ND,ND,1080,ND,ND,ND,,
448/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,24/06/2021,ND,ND,ND,400,ND,ND,ND,,
449/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,23/06/2021,ND,120,ND,11320,ND,ND,ND,,
450/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,24/06/2021,ND,ND,ND,6480,ND,ND,ND,,
451/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,24/06/2021,ND,ND,ND,1200,ND,ND,ND,,
452/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,28/06/2021,ND,40,ND,ND,ND,ND,ND,,
453/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,28/06/2021,ND,200,ND,240,ND,ND,ND,,
454/21,Portland,B25AK,Dorset Council,SY68707757,Site A,28/06/2021,ND,ND,ND,109000,ND,ND,ND,,
455/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,29/06/2021,ND,ND,ND,ND,ND,ND,ND,,
456/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,29/06/2021,ND,ND,ND,ND,ND,ND,ND,,
457/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,29/06/2021,ND,ND,ND,9000,ND,ND,ND,,
458/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,29/06/2021,ND,ND,ND,12000,ND,ND,ND,,
459/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,29/06/2021,ND,ND,ND,13400,ND,ND,ND,,
460/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,29/06/2021,ND,ND,ND,7680,ND,ND,ND,,
461/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,30/06/2021,ND,ND,ND,200,ND,ND,ND,,
462/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,30/06/2021,200,160,ND,240,ND,ND,ND,,
463/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,30/06/2021,40,ND,ND,ND,ND,ND,ND,,
464/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,30/06/2021,200,400,ND,4600,ND,ND,ND,,
465/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,30/06/2021,40,800,ND,2080,ND,ND,ND,,
466/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,30/06/2021,40,400,ND,720,ND,ND,ND,,
467/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,30/06/2021,40,1360,ND,1840,ND,ND,ND,,
468/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,29/06/2021,ND,ND,ND,ND,ND,ND,ND,,
469/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,30/06/2021,ND,200,ND,ND,ND,ND,1200,,
470/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,29/06/2021,ND,40,ND,1840,ND,ND,ND,,
471/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,01/07/2021,ND,ND,ND,200,ND,ND,ND,,
472/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,05/07/2021,ND,ND,ND,ND,ND,ND,ND,,
473/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,05/07/2021,ND,ND,ND,ND,ND,ND,ND,,
474/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,04/07/2021,ND,ND,ND,ND,ND,ND,ND,,
475/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,05/07/2021,ND,ND,ND,ND,ND,ND,1574000,,
476/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,06/07/2021,ND,ND,ND,300,ND,ND,ND,,
477/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,06/07/2021,ND,ND,200,5200,ND,ND,ND,,
478/21,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,06/07/2021,100,ND,ND,400,ND,ND,ND,,
479/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,05/07/2021,ND,ND,ND,5800,ND,ND,ND,,
480/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,07/07/2021,ND,ND,ND,ND,ND,ND,ND,,
482/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,07/07/2021,ND,400,ND,ND,ND,ND,ND,,
483/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,07/07/2021,ND,ND,ND,ND,ND,ND,ND,,
484/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,07/07/2021,400,ND,ND,600,ND,ND,ND,,
485/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,07/07/2021,ND,240,ND,2360,ND,ND,40,,
486/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,07/07/2021,ND,720,ND,2000,ND,ND,ND,,
487/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,07/07/2021,ND,640,ND,400,ND,ND,ND,,
488/21,Dart,B028P,South Hams DC,SX87945350,Long Wood South,07/07/2021,ND,ND,ND,7080,ND,ND,ND,,
489/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,07/07/2021,ND,ND,ND,37080,ND,ND,ND,,
490/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,07/07/2021,200,ND,ND,7800,ND,ND,ND,,
491/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,07/07/2021,ND,ND,ND,6720,ND,ND,ND,,
492/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,07/07/2021,ND,40,ND,7720,ND,ND,ND,,
494/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,07/07/2021,ND,ND,ND,ND,ND,ND,ND,,
495/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,07/07/2021,ND,ND,ND,5900,ND,ND,ND,,
496/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,08/07/2021,ND,ND,ND,ND,ND,ND,ND,,
497/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,08/07/2021,ND,ND,ND,320,ND,ND,ND,,
498/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,08/07/2021,ND,ND,ND,2840,ND,ND,ND,,
499/21,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,12/07/2021,ND,ND,ND,ND,ND,ND,ND,,
500/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,12/07/2021,ND,ND,ND,1440,ND,ND,40,,
501/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,12/07/2021,ND,200,ND,120,ND,ND,ND,,
502/21,Portland,B25AK,Dorset Council,SY68707757,Site A,12/07/2021,ND,40,40,2640,ND,40,40,,
503/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,12/07/2021,ND,ND,ND,360,ND,ND,ND,,
504/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,12/07/2021,ND,ND,ND,ND,ND,ND,ND,,
505/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,12/07/2021,ND,40,ND,ND,ND,ND,80,,
506/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,12/07/2021,ND,ND,ND,200,ND,ND,ND,,
507/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,12/07/2021,ND,80,ND,ND,ND,ND,ND,,
508/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,12/07/2021,ND,40,ND,4520,ND,ND,ND,,
509/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,13/07/2021,ND,ND,ND,680,ND,ND,ND,,
510/21,The Wash,B003V,Boston BC,TF44234098,Toft,12/07/2021,ND,ND,ND,80,ND,ND,ND,,
511/21,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,13/07/2021,ND,ND,ND,600,ND,ND,ND,,
512/21,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,13/07/2021,ND,ND,ND,ND,ND,ND,ND,,
513/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,13/07/2021,ND,ND,ND,3800,ND,ND,ND,,
514/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,13/07/2021,ND,ND,ND,ND,ND,ND,ND,,
515/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,13/07/2021,40,ND,ND,ND,ND,ND,ND,,
516/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,13/07/2021,120,80,ND,400,ND,ND,ND,,
517/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,13/07/2021,ND,ND,ND,1200,ND,ND,ND,,
518/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,13/07/2021,ND,ND,ND,800,ND,ND,ND,,
519/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,13/07/2021,ND,ND,ND,ND,ND,ND,ND,,
520/21,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,12/07/2021,ND,ND,ND,ND,ND,ND,ND,,
521/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,13/07/2021,ND,ND,ND,ND,ND,ND,ND,,
522/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,13/07/2021,ND,ND,ND,80,ND,ND,ND,,
523/21,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,13/07/2021,40,40,ND,1040,ND,ND,ND,,
524/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,12/07/2021,ND,40,ND,5120,ND,ND,ND,,
525/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,14/07/2021,ND,280,ND,2160,ND,ND,ND,,
526/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,14/07/2021,ND,ND,ND,12000,ND,ND,ND,,
527/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,13/07/2021,ND,ND,ND,4600,ND,ND,ND,,
528/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,14/07/2021,ND,ND,ND,640,ND,ND,ND,,
529/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,14/07/2021,ND,ND,ND,ND,ND,ND,ND,,
530/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,14/07/2021,ND,200,ND,ND,ND,ND,ND,,
531/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,14/07/2021,ND,ND,ND,2400,ND,ND,ND,,
532/21,Swale,B076P,Swale BC,TR01316497,The Causeway,14/07/2021,ND,ND,ND,ND,ND,ND,ND,,
533/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,14/07/2021,ND,ND,ND,177000,ND,ND,ND,,
534/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,14/07/2021,ND,ND,ND,410000,ND,ND,ND,,
535/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,14/07/2021,ND,ND,ND,1600,ND,ND,ND,,
537/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,15/07/2021,ND,ND,ND,ND,ND,ND,ND,,
538/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,15/07/2021,ND,ND,ND,200,ND,ND,ND,,
539/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,19/07/2021,ND,ND,ND,6240,ND,ND,ND,,
540/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,19/07/2021,ND,ND,ND,ND,ND,ND,ND,,
541/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,19/07/2021,ND,ND,ND,10800,ND,ND,ND,,
542/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,20/07/2021,500,ND,ND,200,ND,ND,100,,
543/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,20/07/2021,200,ND,ND,200,ND,ND,ND,,
544/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,20/07/2021,ND,40,ND,4520,ND,ND,ND,,
545/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,20/07/2021,ND,ND,ND,42200,ND,ND,ND,,
546/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,19/07/2021,ND,ND,ND,1000,ND,ND,ND,,
547/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,21/07/2021,ND,ND,ND,1800,ND,ND,ND,,
548/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,19/07/2021,ND,ND,40,ND,ND,ND,ND,,
549/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,21/07/2021,ND,680,ND,2160,ND,ND,ND,,
550/21,Dart,B028B,South Hams DC,SX87415599,Waddeton,21/07/2021,ND,ND,ND,ND,ND,ND,ND,,
551/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,21/07/2021,ND,ND,ND,2000,ND,ND,ND,,
552/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,21/07/2021,ND,ND,ND,700,ND,ND,ND,,
553/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,21/07/2021,ND,ND,ND,13440,ND,ND,ND,,
554/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,22/07/2021,ND,ND,ND,ND,ND,ND,ND,,
555/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,22/07/2021,ND,ND,ND,ND,ND,ND,ND,,
556/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,22/07/2021,ND,ND,ND,ND,ND,ND,ND,,
557/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,22/07/2021,ND,40,ND,ND,ND,ND,ND,,
558/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,21/07/2021,ND,40,ND,ND,ND,ND,40,,
559/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,21/07/2021,ND,ND,ND,1960,ND,ND,ND,,
560/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,26/07/2021,ND,ND,ND,ND,ND,ND,ND,,
561/21,Portland,B25AK,Dorset Council,SY68707757,Site A,26/07/2021,ND,ND,ND,7000,ND,ND,ND,,
562/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,26/07/2021,ND,ND,ND,700,ND,ND,ND,,
563/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,26/07/2021,ND,ND,ND,9800,ND,ND,ND,,
564/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,26/07/2021,ND,ND,ND,ND,ND,ND,ND,,
565/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,27/07/2021,ND,ND,120,ND,ND,ND,ND,,
566/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,27/07/2021,ND,ND,ND,ND,ND,ND,ND,,
567/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,27/07/2021,ND,ND,ND,ND,ND,ND,ND,,
568/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,26/07/2021,ND,ND,ND,ND,ND,ND,ND,,
569/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,26/07/2021,ND,ND,ND,1000,ND,ND,ND,,
570/21,,,Maldon DC,,Woodup pool,27/07/2021,"NOT TESTED, SUBMITTED IN ERROR",,,,"NOT TESTED, SUBMITTED IN ERROR","NOT TESTED, SUBMITTED IN ERROR","NOT TESTED, SUBMITTED IN ERROR",,
571/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,27/07/2021,ND,ND,ND,ND,ND,ND,ND,,
572/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,27/07/2021,ND,ND,ND,ND,ND,ND,ND,,
573/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,27/07/2021,ND,80,ND,3120,ND,ND,ND,,
574/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,27/07/2021,ND,ND,ND,720,ND,ND,ND,,
575/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,27/07/2021,ND,40,ND,1000,ND,40,ND,,
576/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,27/07/2021,ND,40,ND,80,ND,120,ND,,
577/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,26/07/2021,ND,40,ND,80,ND,ND,ND,,
578/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,28/07/2021,160,40,ND,1000,ND,ND,ND,,
579/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,28/07/2021,240,ND,ND,360,ND,ND,ND,,
580/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,28/07/2021,240,ND,ND,360,ND,ND,40,,
581/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,28/07/2021,ND,ND,ND,3280,ND,ND,40,,
582/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,28/07/2021,ND,ND,ND,2700,ND,ND,ND,,
583/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,28/07/2021,ND,40,ND,1360,ND,ND,ND,,
584/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,29/07/2021,ND,ND,ND,80,ND,ND,ND,,
585/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,02/08/2021,ND,ND,ND,ND,ND,ND,ND,,
586/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,02/08/2021,ND,40,ND,3000,ND,ND,ND,,
587/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,02/08/2021,ND,ND,ND,11160,ND,ND,ND,,
588/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,02/08/2021,ND,80,ND,9400,ND,ND,ND,,
589/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,02/08/2021,ND,ND,ND,ND,ND,ND,ND,,
590/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,02/08/2021,ND,80,ND,160,ND,ND,4160,,
591/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,03/08/2021,ND,ND,ND,ND,ND,ND,ND,,
593/21,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,03/08/2021,ND,ND,ND,ND,ND,ND,ND,,
594/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,03/08/2021,500,ND,ND,200,ND,ND,ND,,
595/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,03/08/2021,ND,ND,ND,ND,ND,ND,ND,,
596/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,03/08/2021,ND,ND,ND,ND,ND,ND,ND,,
597/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,04/08/2021,100,ND,ND,2500,ND,ND,100,,
598/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,04/08/2021,40,ND,ND,ND,ND,ND,760,,
599/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,04/08/2021,ND,ND,ND,240,ND,ND,240,,
600/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,04/08/2021,ND,ND,ND,ND,ND,ND,40,,
601/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,05/08/2021,ND,ND,40,ND,ND,ND,ND,,
602/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,05/08/2021,ND,ND,ND,6000,ND,ND,ND,,
603/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,05/08/2021,ND,ND,ND,ND,ND,ND,ND,,
604/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,09/08/2021,ND,ND,ND,ND,ND,ND,ND,,
605/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,09/08/2021,ND,ND,ND,ND,ND,ND,ND,,
606/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,08/08/2021,ND,40,40,ND,ND,ND,ND,,
607/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,09/08/2021,ND,ND,ND,12640,ND,ND,ND,,
608/21,Dart,B028P,South Hams DC,SX87945350,Long Wood South,09/08/2021,ND,ND,ND,500,ND,ND,ND,,
609/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,09/08/2021,ND,ND,ND,2400,ND,ND,400,,
610/21,The Wash,B003V,Boston BC,TF44234098,Toft,09/08/2021,ND,ND,ND,300,ND,ND,ND,,
