SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,SampleCollectionMethod,DateSampleCollected,DateSampleArrivedAtLowestoft,DateOfAnalysisAndResultsReported,PSP-Alexandrium_spp.CellsL-1,DSP-DinophysiaceaeCellsL-1,DSP-ProrocentrumLimaCellsL-1,ASP-Pseudo-nitzschia_spp.CellsL-1,YessotoxinLingulodiniumPolyedrumCellsL-1,YessotoxinProtoceratiumReticulatumCellsL-1,VenerupinProrocentrumCordatumCellsL-1,ActionRequired
83/19,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,POLE,2019-02-12,2019-02-13,2019-02-14,ND,ND,ND,3040,ND,ND,ND,
84/19,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,POLE,2019-02-12,2019-02-13,2019-02-14,ND,ND,ND,ND,ND,ND,ND,
85/19,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,POLE,2019-02-12,2019-02-13,2019-02-14,ND,ND,ND,ND,ND,ND,ND,
86/19,Swale,B076P,Swale BC,TR01316497,The Causeway,SURFACE,2019-02-12,2019-02-13,2019-02-14,ND,ND,ND,ND,ND,ND,ND,
87/19,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,POLE,2019-02-12,2019-02-13,2019-02-14,ND,ND,ND,3480,ND,ND,ND,
88/19,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,TUBE,2019-02-11,2019-02-13,2019-02-14,ND,ND,ND,2840,ND,ND,ND,
89/19,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,POLE,2019-02-13,2019-02-14,2019-02-15,ND,ND,ND,520,ND,ND,ND,
90/19,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,POLE,2019-02-13,2019-02-14,2019-02-15,ND,ND,ND,1720,ND,ND,ND,
91/19,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,POLE,2019-02-13,2019-02-14,2019-02-15,ND,ND,ND,720,ND,ND,ND,
92/19,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,POLE,2019-02-12,2019-02-14,2019-02-15,ND,ND,ND,ND,ND,ND,ND,
94/19,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,POLE,2019-02-18,2019-02-19,2019-02-20,ND,ND,ND,600,ND,ND,ND,
95/19,The Wash,B003V,Boston BC,TF44234098,Toft,SURFACE,2019-02-18,2019-02-19,2019-02-20,ND,ND,ND,ND,ND,ND,ND,
97/19,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,SURFACE,2019-02-18,2019-02-19,2019-02-20,ND,ND,ND,120,ND,ND,ND,
98/19,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,SURFACE,2019-02-18,2019-02-19,2019-02-20,ND,ND,ND,ND,ND,ND,ND,
99/19,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,SURFACE,2019-02-19,2019-02-20,2019-02-21,ND,ND,ND,ND,ND,ND,ND,
100/19,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,SURFACE,2019-02-19,2019-02-20,2019-02-21,ND,ND,ND,ND,ND,ND,ND,
101/19,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow Cove North,POLE,2019-02-19,2019-02-20,2019-02-21,ND,ND,ND,11400,ND,ND,ND,
102/19,Dart,B028B,South Hams DC,SX87415599,Waddeton,POLE,2019-02-19,2019-02-20,2019-02-21,40,ND,ND,5760,ND,ND,ND,Additional flesh and water requested 
