DATE-YMD,PSAL= Hadley-EN4 Salinity () at 5 m,
1987-02-15,      35.804,
1987-03-15,      35.910,
1987-04-15,      35.800,
1987-05-15,      35.828,
1987-06-15,      35.884,
1987-07-15,      35.900,
1987-08-15,      35.941,
1987-09-15,      35.942,
1987-10-15,      35.924,
1987-11-15,      36.222,
1987-12-15,      35.974,
1988-01-15,      36.096,
1988-02-15,      36.085,
1988-03-15,      36.043,
1988-04-15,      35.933,
1988-05-15,      36.015,
1988-06-15,      35.965,
1988-07-15,      36.096,
1988-08-15,      36.051,
1988-09-15,      36.057,
1988-10-15,      36.028,
1988-11-15,      35.994,
1988-12-15,      35.996,
1989-01-15,      36.058,
1989-02-15,      36.033,
1989-03-15,      36.051,
1989-04-15,      36.014,
1989-05-15,      36.011,
1989-06-15,      36.026,
1989-07-15,      36.069,
1989-08-15,      36.091,
1989-09-15,      36.099,
1989-10-15,      36.153,
1989-11-15,      36.119,
1989-12-15,      36.091,
1990-01-15,      36.005,
1990-02-15,      36.106,
1990-03-15,      36.009,
1990-04-15,      35.995,
1990-05-15,      35.997,
1990-06-15,      36.016,
1990-07-15,      35.836,
1990-08-15,      35.916,
1990-09-15,      35.947,
1990-10-15,      35.975,
1990-11-15,      35.947,
1990-12-15,      35.993,
1991-01-15,      36.050,
1991-02-15,      35.945,
1991-03-15,      35.910,
1991-04-15,      35.884,
1991-05-15,      35.902,
1991-06-15,      35.924,
1991-07-15,      35.972,
1991-08-15,      35.986,
1991-09-15,      35.967,
1991-10-15,      35.941,
1991-11-15,      35.901,
1991-12-15,      35.909,
1992-01-15,      35.922,
1992-02-15,      35.956,
1992-03-15,      35.920,
1992-04-15,      35.913,
1992-05-15,      35.892,
1992-06-15,      35.757,
1992-07-15,      35.891,
1992-08-15,      35.921,
1992-09-15,      35.937,
1992-10-15,      35.917,
1992-11-15,      35.892,
1992-12-15,      35.995,
1993-01-15,      36.011,
1993-02-15,      36.023,
1993-03-15,      35.974,
1993-04-15,      35.957,
1993-05-15,      35.863,
1993-06-15,      35.891,
1993-07-15,      35.933,
1993-08-15,      35.970,
1993-09-15,      35.968,
1993-10-15,      35.953,
1993-11-15,      35.933,
1993-12-15,      35.944,
1994-01-15,      35.966,
1994-02-15,      35.958,
1994-03-15,      35.923,
1994-04-15,      35.957,
1994-05-15,      35.958,
1994-06-15,      35.971,
1994-07-15,      36.017,
1994-08-15,      36.030,
1994-09-15,      36.020,
1994-10-15,      35.999,
1994-11-15,      35.971,
1994-12-15,      35.980,
1995-01-15,      36.015,
1995-02-15,      36.001,
1995-03-15,      35.957,
1995-04-15,      35.918,
1995-05-15,      35.926,
1995-06-15,      35.949,
1995-07-15,      36.007,
1995-08-15,      36.022,
1995-09-15,      36.009,
1995-10-15,      36.031,
1995-11-15,      35.997,
1995-12-15,      35.999,
1996-01-15,      36.014,
1996-02-15,      36.001,
1996-03-15,      35.899,
1996-04-15,      35.887,
1996-05-15,      35.930,
1996-06-15,      35.958,
1996-07-15,      36.004,
1996-08-15,      36.019,
1996-09-15,      36.005,
1996-10-15,      36.000,
1996-11-15,      35.970,
1996-12-15,      35.974,
1997-01-15,      36.030,
1997-02-15,      35.992,
1997-03-15,      35.969,
1997-04-15,      35.952,
1997-05-15,      36.025,
1997-06-15,      36.042,
1997-07-15,      36.122,
1997-08-15,      36.130,
1997-09-15,      36.110,
1997-10-15,      36.051,
1997-11-15,      36.020,
1997-12-15,      36.034,
1998-01-15,      36.053,
1998-02-15,      36.026,
1998-03-15,      35.989,
1998-04-15,      35.849,
1998-05-15,      35.864,
1998-06-15,      35.893,
1998-07-15,      35.978,
1998-08-15,      36.015,
1998-09-15,      36.005,
1998-10-15,      35.893,
1998-11-15,      35.912,
1998-12-15,      35.943,
1999-01-15,      35.897,
1999-02-15,      35.915,
1999-03-15,      35.897,
1999-04-15,      35.851,
1999-05-15,      35.883,
1999-06-15,      35.919,
1999-07-15,      35.971,
1999-08-15,      35.995,
1999-09-15,      36.043,
1999-10-15,      36.041,
1999-11-15,      36.017,
1999-12-15,      36.003,
2000-01-15,      36.030,
2000-02-15,      36.032,
2000-03-15,      35.983,
2000-04-15,      35.945,
2000-05-15,      35.940,
2000-06-15,      35.971,
2000-07-15,      35.987,
2000-08-15,      35.976,
2000-09-15,      36.010,
2000-10-15,      35.995,
2000-11-15,      35.962,
2000-12-15,      35.977,
2001-01-15,      36.007,
2001-02-15,      35.972,
2001-03-15,      35.917,
2001-04-15,      35.923,
2001-05-15,      35.911,
2001-06-15,      35.940,
2001-07-15,      35.980,
2001-08-15,      35.998,
2001-09-15,      36.052,
2001-10-15,      36.030,
2001-11-15,      35.955,
2001-12-15,      35.924,
2002-01-15,      35.954,
2002-02-15,      35.942,
2002-03-15,      35.953,
2002-04-15,      35.965,
2002-05-15,      35.970,
2002-06-15,      36.013,
2002-07-15,      36.073,
2002-08-15,      36.112,
2002-09-15,      36.139,
2002-10-15,      36.137,
2002-11-15,      36.157,
2002-12-15,      36.080,
2003-01-15,      36.026,
2003-02-15,      36.022,
2003-03-15,      35.974,
2003-04-15,      35.980,
2003-05-15,      36.065,
2003-06-15,      36.137,
2003-07-15,      36.175,
2003-08-15,      36.167,
2003-09-15,      36.156,
2003-10-15,      36.140,
2003-11-15,      36.118,
2003-12-15,      36.144,
2004-01-15,      36.147,
2004-02-15,      36.100,
2004-03-15,      36.015,
2004-04-15,      35.965,
2004-05-15,      36.007,
2004-06-15,      35.944,
2004-07-15,      36.067,
2004-08-15,      36.180,
2004-09-15,      36.048,
2004-10-15,      35.943,
2004-11-15,      35.901,
2004-12-15,      35.910,
2005-01-15,      35.919,
2005-02-15,      35.893,
2005-03-15,      35.885,
2005-04-15,      35.911,
2005-05-15,      35.981,
2005-06-15,      36.023,
2005-07-15,      36.116,
2005-08-15,      36.119,
2005-09-15,      36.089,
2005-10-15,      36.103,
2005-11-15,      36.008,
2005-12-15,      36.021,
2006-01-15,      36.096,
2006-02-15,      36.124,
2006-03-15,      36.107,
2006-04-15,      36.102,
2006-05-15,      36.150,
2006-06-15,      36.162,
2006-07-15,      36.053,
2006-08-15,      36.096,
2006-09-15,      35.981,
2006-10-15,      36.163,
2006-11-15,      36.207,
2006-12-15,      36.218,
2007-01-15,      36.222,
2007-02-15,      36.142,
2007-03-15,      36.168,
2007-04-15,      36.096,
2007-05-15,      36.096,
2007-06-15,      36.072,
2007-07-15,      36.148,
2007-08-15,      36.120,
2007-09-15,      36.192,
2007-10-15,      36.158,
2007-11-15,      36.154,
2007-12-15,      36.121,
2008-01-15,      36.181,
2008-02-15,      35.935,
2008-03-15,      35.961,
2008-04-15,      35.906,
2008-05-15,      35.762,
2008-06-15,      35.754,
2008-07-15,      35.812,
2008-08-15,      35.947,
2008-09-15,      36.060,
2008-10-15,      36.172,
2008-11-15,      36.276,
2008-12-15,      36.182,
2009-01-15,      36.111,
2009-02-15,      36.130,
2009-03-15,      36.236,
2009-04-15,      36.181,
2009-05-15,      36.032,
2009-06-15,      35.990,
2009-07-15,      35.875,
2009-08-15,      35.846,
2009-09-15,      36.013,
2009-10-15,      36.079,
2009-11-15,      36.096,
2009-12-15,      36.124,
2010-01-15,      36.112,
2010-02-15,      36.131,
2010-03-15,      36.190,
2010-04-15,      36.217,
2010-05-15,      36.329,
2010-06-15,      36.358,
2010-07-15,      36.342,
2010-08-15,      36.204,
2010-09-15,      36.019,
2010-10-15,      35.987,
2010-11-15,      35.977,
2010-12-15,      36.044,
2011-01-15,      36.128,
2011-02-15,      36.718,
2011-03-15,      36.645,
2011-04-15,      36.428,
2011-05-15,      36.407,
2011-06-15,      36.356,
2011-07-15,      36.315,
2011-08-15,      36.300,
