DATE-YMD,PSAL= Hadley-EN4 Salinity () at 5 m,
1992-08-15,      35.910,
1992-09-15,      35.918,
1992-10-15,      35.892,
1992-11-15,      35.865,
1992-12-15,      35.966,
1993-01-15,      35.985,
1993-02-15,      35.998,
1993-03-15,      35.945,
1993-04-15,      35.929,
1993-05-15,      35.844,
1993-06-15,      35.874,
1993-07-15,      35.920,
1993-08-15,      35.956,
1993-09-15,      35.945,
1993-10-15,      35.923,
1993-11-15,      35.901,
1993-12-15,      35.915,
1994-01-15,      35.940,
1994-02-15,      35.934,
1994-03-15,      35.898,
1994-04-15,      35.932,
1994-05-15,      35.936,
1994-06-15,      35.951,
1994-07-15,      36.001,
1994-08-15,      36.015,
1994-09-15,      35.997,
1994-10-15,      35.967,
1994-11-15,      35.938,
1994-12-15,      35.951,
1995-01-15,      35.991,
1995-02-15,      35.978,
1995-03-15,      35.933,
1995-04-15,      35.891,
1995-05-15,      35.903,
1995-06-15,      35.929,
1995-07-15,      35.991,
1995-08-15,      36.007,
1995-09-15,      35.985,
1995-10-15,      35.998,
1995-11-15,      35.964,
1995-12-15,      35.969,
1996-01-15,      35.987,
1996-02-15,      35.976,
1996-03-15,      35.871,
1996-04-15,      35.859,
1996-05-15,      35.901,
1996-06-15,      35.932,
1996-07-15,      35.982,
1996-08-15,      35.999,
1996-09-15,      35.977,
1996-10-15,      35.964,
1996-11-15,      35.934,
1996-12-15,      35.941,
1997-01-15,      36.003,
1997-02-15,      35.966,
1997-03-15,      35.939,
1997-04-15,      35.923,
1997-05-15,      35.998,
1997-06-15,      36.018,
1997-07-15,      36.102,
1997-08-15,      36.111,
1997-09-15,      36.086,
1997-10-15,      36.020,
1997-11-15,      35.986,
1997-12-15,      36.003,
1998-01-15,      36.024,
1998-02-15,      36.000,
1998-03-15,      35.962,
1998-04-15,      35.832,
1998-05-15,      35.850,
1998-06-15,      35.880,
1998-07-15,      35.971,
1998-08-15,      36.008,
1998-09-15,      35.989,
1998-10-15,      35.866,
1998-11-15,      35.884,
1998-12-15,      35.916,
1999-01-15,      35.874,
1999-02-15,      35.892,
1999-03-15,      35.872,
1999-04-15,      35.828,
1999-05-15,      35.860,
1999-06-15,      35.899,
1999-07-15,      35.955,
1999-08-15,      35.980,
1999-09-15,      36.018,
1999-10-15,      36.008,
1999-11-15,      35.986,
1999-12-15,      35.976,
2000-01-15,      36.004,
2000-02-15,      36.007,
2000-03-15,      35.958,
2000-04-15,      35.918,
2000-05-15,      35.915,
2000-06-15,      35.950,
2000-07-15,      35.969,
2000-08-15,      35.961,
2000-09-15,      35.990,
2000-10-15,      35.967,
2000-11-15,      35.933,
2000-12-15,      35.951,
2001-01-15,      35.982,
2001-02-15,      35.950,
2001-03-15,      35.895,
2001-04-15,      35.900,
2001-05-15,      35.891,
2001-06-15,      35.922,
2001-07-15,      35.965,
2001-08-15,      35.985,
2001-09-15,      36.029,
2001-10-15,      36.000,
2001-11-15,      35.926,
2001-12-15,      35.897,
2002-01-15,      35.931,
2002-02-15,      35.921,
2002-03-15,      35.929,
2002-04-15,      35.939,
2002-05-15,      35.946,
2002-06-15,      35.989,
2002-07-15,      36.052,
2002-08-15,      36.089,
2002-09-15,      36.112,
2002-10-15,      36.104,
2002-11-15,      36.115,
2002-12-15,      36.041,
2003-01-15,      35.990,
2003-02-15,      35.992,
2003-03-15,      35.942,
2003-04-15,      35.952,
2003-05-15,      36.049,
2003-06-15,      36.129,
2003-07-15,      36.171,
2003-08-15,      36.164,
2003-09-15,      36.142,
2003-10-15,      36.121,
2003-11-15,      36.102,
2003-12-15,      36.125,
2004-01-15,      36.127,
2004-02-15,      36.080,
2004-03-15,      35.994,
2004-04-15,      35.950,
2004-05-15,      35.990,
2004-06-15,      35.934,
2004-07-15,      36.057,
2004-08-15,      36.168,
2004-09-15,      36.037,
2004-10-15,      35.937,
2004-11-15,      35.897,
2004-12-15,      35.906,
2005-01-15,      35.912,
2005-02-15,      35.879,
2005-03-15,      35.869,
2005-04-15,      35.897,
2005-05-15,      35.973,
2005-06-15,      36.015,
2005-07-15,      36.110,
2005-08-15,      36.111,
2005-09-15,      36.074,
2005-10-15,      36.078,
2005-11-15,      35.986,
2005-12-15,      35.995,
2006-01-15,      36.067,
2006-02-15,      36.098,
2006-03-15,      36.076,
2006-04-15,      36.069,
2006-05-15,      36.118,
2006-06-15,      36.132,
2006-07-15,      36.051,
2006-08-15,      36.102,
2006-09-15,      35.982,
2006-10-15,      36.157,
2006-11-15,      36.196,
2006-12-15,      36.202,
2007-01-15,      36.203,
2007-02-15,      36.123,
2007-03-15,      36.142,
2007-04-15,      36.072,
2007-05-15,      36.075,
2007-06-15,      36.059,
2007-07-15,      36.136,
2007-08-15,      36.113,
2007-09-15,      36.170,
2007-10-15,      36.143,
2007-11-15,      36.137,
2007-12-15,      36.104,
2008-01-15,      36.160,
2008-02-15,      35.914,
2008-03-15,      35.940,
2008-04-15,      35.885,
2008-05-15,      35.747,
2008-06-15,      35.749,
2008-07-15,      35.817,
2008-08-15,      35.951,
2008-09-15,      36.056,
2008-10-15,      36.165,
2008-11-15,      36.264,
2008-12-15,      36.171,
2009-01-15,      36.106,
2009-02-15,      36.119,
2009-03-15,      36.213,
2009-04-15,      36.161,
2009-05-15,      36.017,
2009-06-15,      35.975,
2009-07-15,      35.868,
2009-08-15,      35.846,
2009-09-15,      36.000,
2009-10-15,      36.058,
2009-11-15,      36.074,
2009-12-15,      36.098,
2010-01-15,      36.089,
2010-02-15,      36.103,
2010-03-15,      36.153,
2010-04-15,      36.178,
2010-05-15,      36.294,
2010-06-15,      36.325,
2010-07-15,      36.315,
2010-08-15,      36.188,
2010-09-15,      35.998,
2010-10-15,      35.950,
2010-11-15,      35.939,
2010-12-15,      36.001,
2011-01-15,      36.082,
2011-02-15,      36.695,
2011-03-15,      36.622,
2011-04-15,      36.395,
2011-05-15,      36.367,
2011-06-15,      36.325,
2011-07-15,      36.295,
2011-08-15,      36.285,
2011-09-15,      36.238,
2011-10-15,      36.296,
2011-11-15,      36.353,
2011-12-15,      36.236,
2012-01-15,      36.262,
2012-02-15,      36.228,
2012-03-15,      36.005,
2012-04-15,      36.029,
2012-05-15,      35.993,
2012-06-15,      35.983,
2012-07-15,      36.101,
2012-08-15,      36.083,
2012-09-15,      36.167,
2012-10-15,      36.226,
2012-11-15,      36.107,
2012-12-15,      35.884,
2013-01-15,      35.996,
2013-02-15,      36.063,
2013-03-15,      35.965,
2013-04-15,      35.887,
2013-05-15,      35.915,
2013-06-15,      35.955,
2013-07-15,      36.122,
2013-08-15,      36.095,
2013-09-15,      35.848,
2013-10-15,      35.869,
2013-11-15,      35.832,
2013-12-15,      36.053,
2014-01-15,      35.958,
2014-02-15,      36.079,
2014-03-15,      35.834,
2014-04-15,      35.827,
2014-05-15,      35.658,
2014-06-15,      35.717,
2014-07-15,      35.865,
2014-08-15,      36.064,
2014-09-15,      36.124,
2014-10-15,      36.058,
2014-11-15,      36.040,
2014-12-15,      36.057,
2015-01-15,      36.153,
2015-02-15,      36.198,
2015-03-15,      35.932,
2015-04-15,      35.807,
2015-05-15,      35.742,
2015-06-15,      35.783,
2015-07-15,      35.833,
2015-08-15,      36.020,
2015-09-15,      36.160,
2015-10-15,      36.074,
2015-11-15,      36.054,
2015-12-15,      35.938,
2016-01-15,      35.895,
2016-02-15,      35.870,
2016-03-15,      35.887,
2016-04-15,      35.893,
2016-05-15,      35.906,
2016-06-15,      35.913,
2016-07-15,      35.923,
2016-08-15,      35.984,
2016-09-15,      36.004,
2016-10-15,      36.031,
2016-11-15,      35.917,
2016-12-15,      35.966,
2017-01-15,      36.000,
2017-02-15,      36.039,
2017-03-15,      35.945,
2017-04-15,      35.856,
2017-05-15,      35.711,
2017-06-15,      35.889,
2017-07-15,      36.020,
2017-08-15,      36.023,
2017-09-15,      36.091,
2017-10-15,      36.046,
2017-11-15,      36.118,
2017-12-15,      36.150,
2018-01-15,      35.965,
2018-02-15,      35.893,
2018-03-15,      35.935,
2018-04-15,      35.905,
2018-05-15,      35.815,
2018-06-15,      35.899,
2018-07-15,      35.936,
2018-08-15,      35.996,
2018-09-15,      35.906,
2018-10-15,      35.957,
2018-11-15,      35.938,
2018-12-15,      35.845,
2019-01-15,      35.903,
2019-02-15,      35.980,
2019-03-15,      35.922,
2019-04-15,      35.880,
2019-05-15,      35.921,
2019-06-15,      35.978,
2019-07-15,      35.961,
2019-08-15,      36.047,
2019-09-15,      36.088,
2019-10-15,      36.023,
2019-11-15,      35.895,
2019-12-15,      36.005,
2020-01-15,      35.950,
2020-02-15,      35.908,
2020-03-15,      35.970,
2020-04-15,      35.997,
2020-05-15,      35.947,
2020-06-15,      35.914,
2020-07-15,      35.893,
2020-08-15,      35.999,
2020-09-15,      36.059,
2020-10-15,      36.256,
2020-11-15,      36.366,
2020-12-15,      36.172,
2021-01-15,      36.090,
2021-02-15,      36.145,
2021-03-15,      36.177,
2021-04-15,      36.109,
2021-05-15,      36.097,
2021-06-15,      36.111,
2021-07-15,      36.007,
2021-08-15,      36.113,
2021-09-15,      36.155,
2021-10-15,      36.173,
2021-11-15,      36.095,
2021-12-15,      36.117,
